"execution","experiment","iteration","attribute","grade","InClosure"
9,1,1,"att1",0.63464682756007,TRUE
9,1,1,"att10",0.63464682756007,FALSE
9,1,1,"att11",0.63464682756007,FALSE
9,1,1,"att12",0.63464682756007,TRUE
9,1,1,"att13",0.63464682756007,FALSE
9,1,1,"att14",0.63464682756007,FALSE
9,1,1,"att15",0.63464682756007,FALSE
9,1,1,"att16",0.63464682756007,FALSE
9,1,1,"att17",0.63464682756007,FALSE
9,1,1,"att18",0.63464682756007,FALSE
9,1,1,"att19",0.63464682756007,FALSE
9,1,1,"att2",0.63464682756007,FALSE
9,1,1,"att20",0.63464682756007,FALSE
9,1,1,"att3",0.63464682756007,FALSE
9,1,1,"att4",0.63464682756007,TRUE
9,1,1,"att5",0.63464682756007,FALSE
9,1,1,"att7",0.63464682756007,TRUE
9,1,1,"att8",0.63464682756007,FALSE
9,1,1,"att9",0.63464682756007,FALSE
9,2,1,"att1",0.63464682756007,FALSE
9,2,1,"att10",0.63464682756007,TRUE
9,2,1,"att11",0.63464682756007,FALSE
9,2,1,"att12",0.63464682756007,FALSE
9,2,1,"att13",0.63464682756007,FALSE
9,2,1,"att14",0.63464682756007,TRUE
9,2,1,"att15",0.63464682756007,FALSE
9,2,1,"att16",0.63464682756007,FALSE
9,2,1,"att17",0.63464682756007,FALSE
9,2,1,"att18",0.63464682756007,FALSE
9,2,1,"att19",0.63464682756007,FALSE
9,2,1,"att2",0.63464682756007,FALSE
9,2,1,"att20",0.63464682756007,FALSE
9,2,1,"att21",0.63464682756007,FALSE
9,2,1,"att22",0.63464682756007,FALSE
9,2,1,"att23",0.63464682756007,TRUE
9,2,1,"att24",0.63464682756007,FALSE
9,2,1,"att25",0.63464682756007,FALSE
9,2,1,"att3",0.63464682756007,TRUE
9,2,1,"att4",0.63464682756007,FALSE
9,2,1,"att5",0.63464682756007,FALSE
9,2,1,"att6",0.63464682756007,FALSE
9,2,1,"att7",0.63464682756007,FALSE
9,2,1,"att8",0.63464682756007,FALSE
9,2,1,"att9",0.63464682756007,TRUE
9,3,1,"att1",0.63464682756007,FALSE
9,3,1,"att10",0.63464682756007,FALSE
9,3,1,"att11",0.63464682756007,FALSE
9,3,1,"att12",0.63464682756007,FALSE
9,3,1,"att13",0.63464682756007,TRUE
9,3,1,"att14",0.63464682756007,TRUE
9,3,1,"att15",0.63464682756007,FALSE
9,3,1,"att16",0.63464682756007,FALSE
9,3,1,"att17",0.63464682756007,FALSE
9,3,1,"att18",0.63464682756007,FALSE
9,3,1,"att19",0.63464682756007,FALSE
